;; Unicode Sender
;; Type what you want to send in Unicode and press backtick (`), it will be sent.
;; C1 for characters where case is not relevant. C for characters where case is relevant.
;; ? for characters that are used inside words. No '?' syntax otherwise.
;; 1047 definitions.

;; if we type (atom`), we get (om`). How to deal with this issue?
;; Remove the '?' syntax out for things that should not be a part of a word, such as symbols.
;; Keep the '?' syntax for letters and diacritics

;; LIST
;;====================
;; GREEK LETTERS
;; ARCHAIC GREEK LETTERS
;; BRACKETS
;; COMBINING DIACRITICS (LATIN)
;; COMPUTER-KEYS SYMBOLS
;; CURRENCY SYMBOLS
;; DATE AND TIME
;; EXTRA LETTERS & LIGATURES
;; MATHEMATICAL (GEOMETRICAL)
;; MATHEMATICAL
;; ORTHOGRAPHICAL
;; ORTHOGRAPHICAL (RIGHT-TO-LEFT)
;; ROMAN NUMERALS
;; SPACING
;; ASTRONOMICAL
;; RELIGIOUS & POLITICAL
;; SYMBOLS


;; GREEK LETTERS
;;====================
*C1OZ‖won`‖SI‖En‖{U+20A9}‖won sign
*C1OZ‖koreanwon`‖SI‖En‖{U+20A9}‖won sign

*C1OZ‖cent`‖SI‖En‖{U+00A2}‖cent sign
*C1OZ‖mil`‖SI‖En‖{U+20A5}‖mil sign

*C1OZ‖dollar`‖SI‖En‖{U+0024}‖dollar sign

*C1OZ‖yen`‖SI‖En‖{U+00A5}‖yen sign
*C1OZ‖japaneseyen`‖SI‖En‖{U+00A5}‖yen sign
*C1OZ‖yuan`‖SI‖En‖{U+00A5}‖yen sign
*C1OZ‖chineseyuan`‖SI‖En‖{U+00A5}‖yen sign

*C1OZ‖bitcoin`‖SI‖En‖{U+20BF}‖bitcoin sign
*C1OZ‖dogecoin`‖SI‖En‖{U+00D0}‖latin capital letter eth

*C1OZ‖sheqel`‖SI‖En‖{U+20AA}‖new sheqel sign
*C1OZ‖israelisheqel`‖SI‖En‖{U+20AA}‖new sheqel sign
*C1OZ‖shekel`‖SI‖En‖{U+20AA}‖new sheqel sign
*C1OZ‖israelishekel`‖SI‖En‖{U+20AA}‖new sheqel sign

*C1OZ‖hryvnia`‖SI‖En‖{U+20B4}‖hryvnia sign
*C1OZ‖ukrainianhryvnia`‖SI‖En‖{U+20B4}‖hryvnia sign

*C1OZ‖ruble`‖SI‖En‖{U+20BD}‖ruble sign
